,ball_possession,total_passes,passes_accurate,shots_on_goal,shots_off_goal,total_shots,shots_insidebox,shots_outsidebox,blocked_shots,corner_kicks,goalkeeper_saves,offsides,fouls,yellow_cards,red_cards
ball_possession,1,0.585,0.629,0.482,0.436,0.576,0.429,0.346,0.365,0.496,-0.053,0.176,0.072,0.055,-0.033
total_passes,0.585,1,0.982,0.303,0.266,0.515,0.7,0.609,0.58,0.239,-0.046,0.115,-0.163,-0.033,-0.02
passes_accurate,0.629,0.982,1,0.344,0.278,0.523,0.665,0.573,0.543,0.258,-0.055,0.113,-0.164,-0.038,-0.021
shots_on_goal,0.482,0.303,0.344,1,0.369,0.725,0.539,0.367,0.303,0.433,-0.034,0.121,-0.01,-0.033,-0.036
shots_off_goal,0.436,0.266,0.278,0.369,1,0.762,0.519,0.502,0.342,0.439,-0.048,0.111,0.044,0.053,-0.024
total_shots,0.576,0.515,0.523,0.725,0.762,1,0.802,0.711,0.717,0.58,-0.057,0.12,-0.031,-0.013,-0.041
shots_insidebox,0.429,0.7,0.665,0.539,0.519,0.802,1,0.6,0.729,0.432,-0.064,0.118,-0.105,-0.059,-0.032
shots_outsidebox,0.346,0.609,0.573,0.367,0.502,0.711,0.6,1,0.713,0.299,-0.022,0.062,-0.123,0.004,-0.018
blocked_shots,0.365,0.58,0.543,0.303,0.342,0.717,0.729,0.713,1,0.414,-0.048,0.031,-0.102,-0.053,-0.028
corner_kicks,0.496,0.239,0.258,0.433,0.439,0.58,0.432,0.299,0.414,1,-0.071,0.097,-0.006,-0.01,-0.037
goalkeeper_saves,-0.053,-0.046,-0.055,-0.034,-0.048,-0.057,-0.064,-0.022,-0.048,-0.071,1,0.036,0.037,0.115,0.037
offsides,0.176,0.115,0.113,0.121,0.111,0.12,0.118,0.062,0.031,0.097,0.036,1,-0.011,0.1,0.003
fouls,0.072,-0.163,-0.164,-0.01,0.044,-0.031,-0.105,-0.123,-0.102,-0.006,0.037,-0.011,1,0.281,0.033
yellow_cards,0.055,-0.033,-0.038,-0.033,0.053,-0.013,-0.059,0.004,-0.053,-0.01,0.115,0.1,0.281,1,0.11
red_cards,-0.033,-0.02,-0.021,-0.036,-0.024,-0.041,-0.032,-0.018,-0.028,-0.037,0.037,0.003,0.033,0.11,1
