param_epochs,param_batch_size,param_dense_num,param_optimizer,param_activation,param_loss,mean_test_score,rank_test_score
125,32,25,Adam,softmax,categorical_crossentropy,0.6026909947395325,1
125,32,75,Adam,softmax,categorical_crossentropy,0.5998851299285889,2
125,32,50,Adam,softmax,categorical_crossentropy,0.5916787028312683,3
100,32,25,Adam,softmax,categorical_crossentropy,0.5901742815971375,4
100,32,75,Adam,softmax,categorical_crossentropy,0.588822877407074,5
125,128,25,Adam,softmax,categorical_crossentropy,0.5814466118812561,6
125,256,50,Adam,softmax,categorical_crossentropy,0.5745891809463501,7
50,256,25,Adam,softmax,categorical_crossentropy,0.5737063884735107,8
100,32,50,Adam,softmax,categorical_crossentropy,0.5666439533233643,9
50,64,25,Adam,softmax,categorical_crossentropy,0.5639434456825256,10
125,256,25,Adam,softmax,categorical_crossentropy,0.5632645964622498,11
50,128,25,Adam,softmax,categorical_crossentropy,0.5622261762619019,12
125,64,75,Adam,softmax,categorical_crossentropy,0.5620715618133545,13
125,64,25,Adam,softmax,categorical_crossentropy,0.5596275210380555,14
100,64,75,Adam,softmax,categorical_crossentropy,0.5566683948040009,15
100,256,50,Adam,softmax,categorical_crossentropy,0.5566149115562439,16
100,64,25,Adam,softmax,categorical_crossentropy,0.5561494052410125,17
125,128,75,Adam,softmax,categorical_crossentropy,0.5529819607734681,18
125,64,50,Adam,softmax,categorical_crossentropy,0.551785534620285,19
100,128,75,Adam,softmax,categorical_crossentropy,0.5498144030570984,20
100,256,75,Adam,softmax,categorical_crossentropy,0.545504343509674,21
50,128,50,Adam,softmax,categorical_crossentropy,0.5447206735610962,22
50,128,75,Adam,softmax,categorical_crossentropy,0.5443053901195526,23
50,256,75,Adam,softmax,categorical_crossentropy,0.5436323761940003,24
125,256,75,Adam,softmax,categorical_crossentropy,0.5414555430412292,25
50,32,50,Adam,softmax,categorical_crossentropy,0.5390068471431733,26
100,128,50,Adam,softmax,categorical_crossentropy,0.5385477364063262,27
